provinsi,kabupaten_kota,kecamatan,desa_kelurahan
ACEH,KAB. ACEH SELATAN,Samadua,Gunung Cut
ACEH,KAB. ACEH SELATAN,Samadua,Alur Pinang
ACEH,KAB. ACEH SELATAN,Samadua,Kuta Blang
ACEH,KAB. ACEH SELATAN,Samadua,Batee Tunggai
ACEH,KAB. ACEH SELATAN,Samadua,Ujung Tanah
ACEH,KAB. ACEH SELATAN,Samadua,Ujung Kampung
ACEH,KAB. ACEH SELATAN,Samadua,Jilatang
ACEH,KAB. ACEH SELATAN,Samadua,Luar
ACEH,KAB. ACEH SELATAN,Samadua,Lubuk Layu
ACEH,KAB. ACEH SELATAN,Samadua,Suaq Hulu
ACEH,KAB. ACEH SELATAN,Samadua,Tampang
ACEH,KAB. ACEH SELATAN,Samadua,Payonan Gadang
ACEH,KAB. ACEH SELATAN,Samadua,Gadang
ACEH,KAB. ACEH SELATAN,Samadua,Baru
ACEH,KAB. ACEH SELATAN,Samadua,Ladang Kasik Putih
ACEH,KAB. ACEH SELATAN,Samadua,Air Sialang Hilir.
ACEH,KAB. ACEH SELATAN,Samadua,Air Sialang Hulu
ACEH,KAB. ACEH SELATAN,Samadua,Air Sialang Tengah
ACEH,KAB. ACEH SELATAN,Samadua,Balai
ACEH,KAB. ACEH SELATAN,Samadua,Arafah
ACEH,KAB. ACEH SELATAN,Sawang,Sikulat
ACEH,KAB. ACEH SELATAN,Sawang,Sawang I
ACEH,KAB. ACEH SELATAN,Sawang,Meuligo
ACEH,KAB. ACEH SELATAN,Sawang,Lhok Pawoh
ACEH,KAB. ACEH SELATAN,Sawang,Sawang II
ACEH,KAB. ACEH SELATAN,Sawang,Ujung Karang
ACEH,KAB. ACEH SELATAN,Sawang,Trieng Meuduro Baroh
ACEH,KAB. ACEH SELATAN,Sawang,Trieng Meuduro Tunong
ACEH,KAB. ACEH SELATAN,Sawang,Panton Luas
ACEH,KAB. ACEH SELATAN,Sawang,Simpang Tiga
ACEH,KAB. ACEH SELATAN,Sawang,Kuta Baro
ACEH,KAB. ACEH SELATAN,Sawang,Blang Geulinggang
ACEH,KAB. ACEH SELATAN,Sawang,Mutiara
ACEH,KAB. ACEH SELATAN,Sawang,Ujung Padang
ACEH,KAB. ACEH SELATAN,Sawang,Sawang Ba'u
ACEH,KAB. ACEH SELATAN,Tapaktuan,Lhok Keutapang
ACEH,KAB. ACEH SELATAN,Tapaktuan,Hilir
ACEH,KAB. ACEH SELATAN,Tapaktuan,Padang
ACEH,KAB. ACEH SELATAN,Tapaktuan,Hulu
ACEH,KAB. ACEH SELATAN,Tapaktuan,Jambo Apha
ACEH,KAB. ACEH SELATAN,Tapaktuan,Tepi Air
ACEH,KAB. ACEH SELATAN,Tapaktuan,Pasar
ACEH,KAB. ACEH SELATAN,Tapaktuan,Lhok Bengkuang
ACEH,KAB. ACEH SELATAN,Tapaktuan,Panton Luas
ACEH,KAB. ACEH SELATAN,Tapaktuan,Gunung Kerambil
ACEH,KAB. ACEH SELATAN,Tapaktuan,Air Berudang
ACEH,KAB. ACEH SELATAN,Tapaktuan,Batu Itam
ACEH,KAB. ACEH SELATAN,Tapaktuan,Panjupian
ACEH,KAB. ACEH SELATAN,Tapaktuan,Lhok Rukam
ACEH,KAB. ACEH SELATAN,Tapaktuan,Air Pinang
ACEH,KAB. ACEH SELATAN,Tapaktuan,Lhok Bengkuang Timur
ACEH,KAB. ACEH SELATAN,Trumon,Keude Trumon
ACEH,KAB. ACEH SELATAN,Trumon,Ujong Tanoh
ACEH,KAB. ACEH SELATAN,Trumon,Sigleng
ACEH,KAB. ACEH SELATAN,Trumon,Ie Meudama
ACEH,KAB. ACEH SELATAN,Trumon,Teupin Tinggi
ACEH,KAB. ACEH SELATAN,Trumon,Kuta Baro
ACEH,KAB. ACEH SELATAN,Trumon,Panton Bilie
ACEH,KAB. ACEH SELATAN,Trumon,Kuta Padang
ACEH,KAB. ACEH SELATAN,Trumon,Raket
ACEH,KAB. ACEH SELATAN,Trumon,Gampong Teungoh
ACEH,KAB. ACEH SELATAN,Trumon,Seuneubok Jaya
ACEH,KAB. ACEH SELATAN,Trumon,Padang Harapan
ACEH,KAB. ACEH SELATAN,Pasi Raja,Ladang Teungoh
ACEH,KAB. ACEH SELATAN,Pasi Raja,Pucok Krueng
ACEH,KAB. ACEH SELATAN,Pasi Raja,Silolo
ACEH,KAB. ACEH SELATAN,Pasi Raja,Kampung Baru
ACEH,KAB. ACEH SELATAN,Pasi Raja,Panton Bili
ACEH,KAB. ACEH SELATAN,Pasi Raja,Paya Ateuk
ACEH,KAB. ACEH SELATAN,Pasi Raja,Ladang Tuha
ACEH,KAB. ACEH SELATAN,Pasi Raja,Mata Ie
ACEH,KAB. ACEH SELATAN,Pasi Raja,Ujong Batee
ACEH,KAB. ACEH SELATAN,Pasi Raja,Lhok Sialang Cut
ACEH,KAB. ACEH SELATAN,Pasi Raja,Seuneubok
ACEH,KAB. ACEH SELATAN,Pasi Raja,Ie Mirah
